id,loan_status
200000,0.031018628
200001,0.17694464
200002,0.07163658
200003,0.11273064
200004,0.11996232
200005,0.16342151
200006,0.20369543
200007,0.36691317
200008,0.18947557
200009,0.029927067
200010,0.11017414
200011,0.075693674
200012,0.38983643
200013,0.30123195
200014,0.15758203
200015,0.04741463
200016,0.17208888
200017,0.22287461
200018,0.034926053
200019,0.043205094
200020,0.072070725
200021,0.040327232
200022,0.07003452
200023,0.21920986
200024,0.15304969
200025,0.2324018
200026,0.08493467
200027,0.15522178
200028,0.15062809
200029,0.18267749
200030,0.14391863
200031,0.24128187
200032,0.051797364
200033,0.11678871
200034,0.049701452
200035,0.13867907
200036,0.039826337
200037,0.05006482
200038,0.14511724
200039,0.037130468
200040,0.09403989
200041,0.05544556
200042,0.22809158
200043,0.180688
200044,0.13958305
200045,0.104306236
200046,0.23274182
200047,0.36802858
200048,0.18684818
200049,0.1153652
200050,0.16469054
200051,0.27941707
200052,0.18975651
200053,0.11429222
200054,0.149808
200055,0.21726719
200056,0.09229502
200057,0.2894006
200058,0.20692822
200059,0.058746018
200060,0.13321026
200061,0.21386476
200062,0.059594855
200063,0.2720938
200064,0.06856689
200065,0.07367181
200066,0.162006
200067,0.33398864
200068,0.112298615
200069,0.115790784
200070,0.30492446
200071,0.07547919
200072,0.4005986
200073,0.05595588
200074,0.1298666
200075,0.087053254
200076,0.1436394
200077,0.10864663
200078,0.0589752
200079,0.24087393
200080,0.21570271
200081,0.2515637
200082,0.11465355
200083,0.08733689
200084,0.09007278
200085,0.086207524
200086,0.15757155
200087,0.13056944
200088,0.08063751
200089,0.11476531
200090,0.063423134
200091,0.12720859
200092,0.14828333
200093,0.24725656
200094,0.27514842
200095,0.12756689
200096,0.26764128
200097,0.067128405
200098,0.07964603
200099,0.029601678
200100,0.12671606
200101,0.124459945
200102,0.22814186
200103,0.19972236
200104,0.111077815
200105,0.08651295
200106,0.10728658
200107,0.1922741
200108,0.082305916
200109,0.30786124
200110,0.07804278
200111,0.08507178
200112,0.22931422
200113,0.10132799
200114,0.26083708
200115,0.12260826
200116,0.16437185
200117,0.31910825
200118,0.07855721
200119,0.10904803
200120,0.103987835
200121,0.15483744
200122,0.3818365
200123,0.058667343
200124,0.09836029
200125,0.19460906
200126,0.13023663
200127,0.15641703
200128,0.2513084
200129,0.33469236
200130,0.07404116
200131,0.21752611
200132,0.078366265
200133,0.10283297
200134,0.12679836
200135,0.10081161
200136,0.06185285
200137,0.19640711
200138,0.06515749
200139,0.28669116
200140,0.060700983
200141,0.1213279
200142,0.21967542
200143,0.33543098
200144,0.14059635
200145,0.19342417
200146,0.08926796
200147,0.07482965
200148,0.14150059
200149,0.16502585
200150,0.1412047
200151,0.12592949
200152,0.044168845
200153,0.10712274
200154,0.16798128
200155,0.106746554
200156,0.042728536
200157,0.20329191
200158,0.33600894
200159,0.1185642
200160,0.18313356
200161,0.06865759
200162,0.23286957
200163,0.17088044
200164,0.11642007
200165,0.30523494
200166,0.17703106
200167,0.34311134
200168,0.17513816
200169,0.14508444
200170,0.26062733
200171,0.050989714
200172,0.4125698
200173,0.08430949
200174,0.2854348
200175,0.12003873
200176,0.12210154
200177,0.080478966
200178,0.15581748
200179,0.07647026
200180,0.12311707
200181,0.09943699
200182,0.078642555
200183,0.057885963
200184,0.034784086
200185,0.17981042
200186,0.10182657
200187,0.13809638
200188,0.14809917
200189,0.108233266
200190,0.110775314
200191,0.046911005
200192,0.0855926
200193,0.0888676
200194,0.21875723
200195,0.19792801
200196,0.07445383
200197,0.32140732
200198,0.20571014
200199,0.040723212
200200,0.08635212
200201,0.13039194
200202,0.10350663
200203,0.084572166
200204,0.3005936
200205,0.18265103
200206,0.20441294
200207,0.16901115
200208,0.14510606
200209,0.10989345
200210,0.38538176
200211,0.2433773
200212,0.075030364
200213,0.25515756
200214,0.09470603
200215,0.2271196
200216,0.29908055
200217,0.2108304
200218,0.13655548
200219,0.24794675
200220,0.15884829
200221,0.09412996
200222,0.13846828
200223,0.06730276
200224,0.20188197
200225,0.08513921
200226,0.12703589
200227,0.23129697
200228,0.09242027
200229,0.17273802
200230,0.21493182
200231,0.08851141
200232,0.1037422
200233,0.2627527
200234,0.08356563
200235,0.1540021
200236,0.18293087
200237,0.114661254
200238,0.119940996
200239,0.2576938
200240,0.29499006
200241,0.129549
200242,0.05650353
200243,0.19936459
200244,0.3165267
200245,0.09190649
200246,0.11120793
200247,0.13525854
200248,0.05855269
200249,0.07812936
200250,0.20766962
200251,0.06572994
200252,0.07650925
200253,0.3293858
200254,0.15865268
200255,0.06290999
200256,0.094139345
200257,0.36748347
200258,0.14670543
200259,0.1895178
200260,0.07601593
200261,0.104544826
200262,0.18060742
200263,0.13965061
200264,0.24362367
200265,0.1554176
200266,0.3614338
200267,0.15719311
200268,0.08097753
200269,0.11682522
200270,0.34636402
200271,0.13803193
200272,0.06378031
200273,0.11167266
200274,0.04782622
200275,0.11967518
200276,0.16604464
200277,0.14403354
200278,0.2847198
200279,0.13641082
200280,0.24447916
200281,0.10442273
200282,0.08628948
200283,0.050303165
200284,0.37711447
200285,0.03208663
200286,0.2641126
200287,0.18095571
200288,0.088030435
200289,0.14892681
200290,0.036228087
200291,0.13980827
200292,0.11053628
200293,0.17533167
200294,0.16792864
200295,0.25624102
200296,0.19937782
200297,0.08293835
200298,0.11147676
200299,0.13808906
200300,0.113486156
200301,0.10743885
200302,0.090428196
200303,0.09977451
200304,0.1294131
200305,0.362624
200306,0.07566267
200307,0.36319265
200308,0.0327222
200309,0.12707327
200310,0.059665803
200311,0.1085839
200312,0.11772192
200313,0.13310176
200314,0.14143968
200315,0.2590566
200316,0.22495931
200317,0.19606012
200318,0.23080239
200319,0.3863963
200320,0.0340836
200321,0.043626584
200322,0.111717016
200323,0.10331741
200324,0.16283605
200325,0.15517779
200326,0.11177864
200327,0.10093505
200328,0.12503526
200329,0.033124022
200330,0.15349324
200331,0.043467037
200332,0.052067943
200333,0.14528978
200334,0.15478621
200335,0.07529004
200336,0.079185516
200337,0.15595622
200338,0.24781148
200339,0.13604255
200340,0.18589628
200341,0.10144684
200342,0.030769028
200343,0.068597436
200344,0.18615149
200345,0.086520076
200346,0.18961775
200347,0.24373573
200348,0.24100727
200349,0.14562364
200350,0.16505674
200351,0.11725848
200352,0.028651314
200353,0.22533923
200354,0.07648508
200355,0.060481332
200356,0.07617656
200357,0.13160467
200358,0.31667235
200359,0.2904783
200360,0.22135432
200361,0.07460491
200362,0.07006296
200363,0.049751107
200364,0.14685121
200365,0.12848304
200366,0.12153528
200367,0.23916088
200368,0.22583178
200369,0.10439478
200370,0.059962876
200371,0.29364556
200372,0.093191706
200373,0.3013101
200374,0.03696939
200375,0.14379635
200376,0.05587808
200377,0.15351425
200378,0.17372322
200379,0.107628144
200380,0.12934242
200381,0.12749903
200382,0.14580834
200383,0.04540953
200384,0.039989553
200385,0.13137294
200386,0.06691765
200387,0.058178738
200388,0.12519209
200389,0.0750583
200390,0.12603487
200391,0.4452898
200392,0.06497304
200393,0.19986857
200394,0.12907138
200395,0.27475405
200396,0.17177574
200397,0.13232572
200398,0.33098543
200399,0.16202435
200400,0.27154538
200401,0.19847454
200402,0.19258705
200403,0.09562113
200404,0.23670132
200405,0.083027884
200406,0.060210645
200407,0.08608038
200408,0.1489508
200409,0.081946254
200410,0.14694455
200411,0.15127447
200412,0.101161465
200413,0.04043893
200414,0.08275263
200415,0.13397051
200416,0.0913141
200417,0.14081599
200418,0.089940876
200419,0.10591114
200420,0.12320194
200421,0.19131011
200422,0.052466083
200423,0.11538102
200424,0.11284477
200425,0.09257712
200426,0.21196273
200427,0.08127063
200428,0.06530094
200429,0.14081402
200430,0.12569427
200431,0.32907847
200432,0.126523
200433,0.11356061
200434,0.11820977
200435,0.10743594
200436,0.36406323
200437,0.032438926
200438,0.27668267
200439,0.065980084
200440,0.124387495
200441,0.06311359
200442,0.0918929
200443,0.25172505
